Date,Volume,Open,High,Low,Close,macd,macds,macdh
2020-08-03,8.3,17.5,17.8,17.5,17.55,,,
2020-08-04,38.7084,17.65,18.3,17.55,18.3,,,
2020-08-05,25.9,18.4,18.5,18.05,18.25,,,
2020-08-06,10.9,18.35,18.65,18.2,18.3,,,
2020-08-07,7.101,18.3,18.3,18.0,18.0,,,
2020-08-10,22.5,18.05,18.25,17.5,17.55,,,
2020-08-11,24.5084,17.55,17.55,17.3,17.35,,,
2020-08-12,10.3,17.2,17.4,17.15,17.3,,,
2020-08-13,4.6,17.4,17.5,17.4,17.4,,,
2020-08-14,8.5,17.5,17.6,17.35,17.35,,,
2020-08-17,8.8,17.3,17.5,17.3,17.45,,,
2020-08-18,11.1,17.45,17.6,17.35,17.4,,,
2020-08-19,55.4,17.45,17.95,17.4,17.65,,,
2020-08-20,23.0008,17.7,17.7,16.6,16.8,,,
2020-08-21,8.0,17.0,17.3,16.8,17.15,,,
2020-08-24,4.0,16.9,17.2,16.9,16.95,,,
2020-08-25,13.1,17.0,17.2,16.85,17.0,,,
2020-08-26,153.7,17.0,17.7,17.0,17.45,,,
2020-08-27,11.901,17.6,17.6,17.25,17.3,,,
2020-08-28,5.2,17.6,17.6,17.25,17.35,,,
2020-08-31,8.2,17.45,17.45,17.1,17.1,,,
2020-09-01,6.4,17.15,17.2,17.1,17.1,,,
2020-09-02,5.8,17.2,17.25,17.05,17.15,,,
2020-09-03,8.8,17.45,17.45,17.2,17.3,,,
2020-09-04,10.3,17.1,17.25,16.7,17.2,,,
2020-09-07,23.5,17.2,17.65,17.2,17.45,,,
2020-09-08,11.255,17.55,17.6,17.2,17.2,,,
2020-09-09,5.845,17.1,17.4,17.0,17.4,,,
2020-09-10,9.8007,17.45,17.45,17.1,17.1,,,
2020-09-11,15.2262,16.9,16.95,16.8,16.85,,,
2020-09-14,4.5001,17.0,17.0,16.65,16.85,,,
2020-09-15,9.64,16.85,17.05,16.8,16.95,,,
2020-09-16,5.1175,16.95,16.95,16.85,16.85,,,
2020-09-17,6.6,16.85,17.1,16.85,17.1,-0.1829049293715208,-0.19358173465139375,0.010676805279872942
2020-09-18,4.5,17.1,17.1,17.0,17.1,-0.16601407057191864,-0.18806820183549872,0.02205413126358008
2020-09-21,6.7,17.05,17.15,17.05,17.05,-0.15487719748879059,-0.18143000096615708,0.026552803477366493
2020-09-22,5.6,17.0,17.0,16.7,16.7,-0.17230697273717865,-0.1796053953203614,0.007298422583182751
2020-09-23,3.6001,16.7,16.7,16.65,16.7,-0.1839991673307928,-0.1804841497224477,-0.0035150176083451057
2020-09-24,17.1006,16.7,16.7,16.0,16.1,-0.23892610990606755,-0.19217254175917167,-0.04675356814689588
2020-09-25,12.7,16.15,16.15,15.6,15.95,-0.29120304656867546,-0.21197864272107242,-0.07922440384760304
2020-09-28,6.7,16.05,16.15,15.95,15.95,-0.328842207240875,-0.23535135562503293,-0.09349085161584206
2020-09-29,5.2001,16.0,16.0,15.75,15.8,-0.36654990056250725,-0.2615910646125278,-0.10495883594997946
2020-09-30,3.1,16.0,16.1,16.0,16.1,-0.36798413435509403,-0.28286967856104106,-0.08511445579405297
2020-10-05,61.5,16.0,16.7,16.0,16.45,-0.336994042490538,-0.29369455134694045,-0.043299491143597546
2020-10-06,7.3096,16.7,16.7,16.45,16.55,-0.3008964600611499,-0.29513493308978234,-0.005761526971367559
2020-10-07,4.5,16.5,16.65,16.45,16.65,-0.2612086509206186,-0.28834967665594957,0.027141025735330948
2020-10-08,4.9,16.7,16.75,16.4,16.75,-0.21916026881996942,-0.27451179508875356,0.055351526268784146
2020-10-12,4.7,16.55,16.6,16.25,16.35,-0.21562765869758138,-0.26273496781051914,0.047107309112937756
2020-10-13,6.812,16.4,16.4,16.0,16.3,-0.21439125294702066,-0.25306622483781943,0.03867497189079877
2020-10-14,8.9,16.3,16.4,15.9,16.2,-0.218956561798322,-0.24624429222991995,0.027287730431597934
2020-10-15,8.312,16.2,16.35,16.1,16.15,-0.22402674324252203,-0.24180078243244035,0.017774039189918323
2020-10-16,7.9,16.1,16.2,16.1,16.1,-0.22943470029148472,-0.23932756600424923,0.009892865712764515
2020-10-19,6.9,16.1,16.3,16.0,16.3,-0.21510264726384776,-0.23448258225616894,0.019379934992321185
2020-10-20,4.3,16.3,16.3,16.1,16.3,-0.20142251856967164,-0.22787056951886947,0.026448050949197832
2020-10-21,5.9,16.5,16.55,16.2,16.3,-0.18840905570591815,-0.2199782667562792,0.03156921105036106
2020-10-22,8.2,16.1,16.2,16.0,16.05,-0.19600923089009115,-0.2151844595830416,0.019175228692950463
2020-10-23,11.7068,16.05,16.5,16.05,16.35,-0.17579843673649265,-0.20730725501373182,0.03150881827723917
2020-10-26,29.6,16.5,17.2,16.5,17.0,-0.10610851611203032,-0.18706750723339152,0.0809589911213612
2020-10-27,12.6,17.35,17.45,17.05,17.05,-0.046310333102987045,-0.15891607240731062,0.11260573930432358
