,Date,Volume,Open,High,Low,Close
0,2020-08-03,83000,17.5,17.8,17.5,17.55
1,2020-08-04,387084,17.65,18.3,17.55,18.3
2,2020-08-05,259000,18.4,18.5,18.05,18.25
3,2020-08-06,109000,18.35,18.65,18.2,18.3
4,2020-08-07,71010,18.3,18.3,18.0,18.0
5,2020-08-10,225000,18.05,18.25,17.5,17.55
6,2020-08-11,245084,17.55,17.55,17.3,17.35
7,2020-08-12,103000,17.2,17.4,17.15,17.3
8,2020-08-13,46000,17.4,17.5,17.4,17.4
9,2020-08-14,85000,17.5,17.6,17.35,17.35
10,2020-08-17,88000,17.3,17.5,17.3,17.45
11,2020-08-18,111000,17.45,17.6,17.35,17.4
12,2020-08-19,554000,17.45,17.95,17.4,17.65
13,2020-08-20,230008,17.7,17.7,16.6,16.8
14,2020-08-21,80000,17.0,17.3,16.8,17.15
15,2020-08-24,40000,16.9,17.2,16.9,16.95
16,2020-08-25,131000,17.0,17.2,16.85,17.0
17,2020-08-26,1537000,17.0,17.7,17.0,17.45
18,2020-08-27,119010,17.6,17.6,17.25,17.3
19,2020-08-28,52000,17.6,17.6,17.25,17.35
20,2020-08-31,82000,17.45,17.45,17.1,17.1
21,2020-09-01,64000,17.15,17.2,17.1,17.1
22,2020-09-02,58000,17.2,17.25,17.05,17.15
23,2020-09-03,88000,17.45,17.45,17.2,17.3
24,2020-09-04,103000,17.1,17.25,16.7,17.2
25,2020-09-07,235000,17.2,17.65,17.2,17.45
26,2020-09-08,112550,17.55,17.6,17.2,17.2
27,2020-09-09,58450,17.1,17.4,17.0,17.4
28,2020-09-10,98007,17.45,17.45,17.1,17.1
29,2020-09-11,152262,16.9,16.95,16.8,16.85
30,2020-09-14,45001,17.0,17.0,16.65,16.85
31,2020-09-15,96400,16.85,17.05,16.8,16.95
32,2020-09-16,51175,16.95,16.95,16.85,16.85
33,2020-09-17,66000,16.85,17.1,16.85,17.1
34,2020-09-18,45000,17.1,17.1,17.0,17.1
35,2020-09-21,67000,17.05,17.15,17.05,17.05
36,2020-09-22,56000,17.0,17.0,16.7,16.7
37,2020-09-23,36001,16.7,16.7,16.65,16.7
38,2020-09-24,171006,16.7,16.7,16.0,16.1
39,2020-09-25,127000,16.15,16.15,15.6,15.95
40,2020-09-28,67000,16.05,16.15,15.95,15.95
41,2020-09-29,52001,16.0,16.0,15.75,15.8
42,2020-09-30,31000,16.0,16.1,16.0,16.1
43,2020-10-05,615000,16.0,16.7,16.0,16.45
44,2020-10-06,73096,16.7,16.7,16.45,16.55
45,2020-10-07,45000,16.5,16.65,16.45,16.65
46,2020-10-08,49000,16.7,16.75,16.4,16.75
47,2020-10-12,47000,16.55,16.6,16.25,16.35
48,2020-10-13,68120,16.4,16.4,16.0,16.3
49,2020-10-14,89000,16.3,16.4,15.9,16.2
50,2020-10-15,83120,16.2,16.35,16.1,16.15
51,2020-10-16,79000,16.1,16.2,16.1,16.1
52,2020-10-19,69000,16.1,16.3,16.0,16.3
53,2020-10-20,43000,16.3,16.3,16.1,16.3
54,2020-10-21,59000,16.5,16.55,16.2,16.3
55,2020-10-22,82000,16.1,16.2,16.0,16.05
56,2020-10-23,117068,16.05,16.5,16.05,16.35
57,2020-10-26,296000,16.5,17.2,16.5,17.0
58,2020-10-27,126000,17.35,17.45,17.05,17.05
59,2020-10-28,83183,17.0,17.25,16.7,16.95
60,2020-10-29,63000,16.6,17.1,16.55,16.85
61,2020-10-30,63057,17.0,17.0,16.7,16.7
62,2020-11-02,48140,16.7,16.75,16.6,16.6
63,2020-11-03,58000,17.0,17.1,16.65,16.7
64,2020-11-04,36000,17.0,17.0,16.7,16.85
65,2020-11-05,39000,16.7,17.1,16.7,16.9
66,2020-11-06,53000,17.2,17.2,16.8,16.8
67,2020-11-09,82001,16.85,17.0,16.5,16.6
68,2020-11-10,55001,16.75,16.85,16.7,16.8
69,2020-11-11,396055,16.9,17.4,16.75,17.4
70,2020-11-12,1368000,17.3,18.3,17.25,18.15
71,2020-11-13,166000,18.0,18.1,17.85,17.9
72,2020-11-16,454000,19.1,19.1,18.0,18.1
73,2020-11-17,154000,18.5,18.5,18.0,18.15
74,2020-11-18,95200,18.15,18.15,18.0,18.1
75,2020-11-19,157100,18.0,18.2,17.95,18.0
76,2020-11-20,98000,18.0,18.0,17.8,17.85
77,2020-11-23,521187,17.85,18.85,17.85,18.8
78,2020-11-24,3466297,19.1,20.65,18.95,20.35
79,2020-11-25,2123356,20.05,20.9,19.65,20.5
80,2020-11-26,1273116,20.8,20.9,19.8,20.1
81,2020-11-27,781288,20.1,20.8,20.1,20.3
82,2020-11-30,1059056,20.55,21.25,20.4,20.6
83,2020-12-01,681790,20.7,21.45,20.7,21.1
84,2020-12-02,343799,21.1,21.2,20.7,20.75
85,2020-12-03,324000,20.65,20.7,20.3,20.4
86,2020-12-04,796288,20.4,21.15,20.2,20.7
87,2020-12-07,261400,21.15,21.15,20.5,20.6
88,2020-12-08,1665060,20.6,21.4,20.3,20.6
89,2020-12-09,128489,20.85,20.85,20.4,20.5
90,2020-12-10,303101,20.5,20.5,19.7,19.85
91,2020-12-11,329199,19.9,19.9,19.2,19.25
92,2020-12-14,202200,19.25,19.5,18.9,19.3
93,2020-12-15,184710,19.7,19.7,18.7,18.8
94,2020-12-16,161000,18.95,19.55,18.9,19.35
95,2020-12-17,318020,19.65,20.0,19.45,19.75
96,2020-12-18,175000,19.6,20.0,19.6,19.9
97,2020-12-21,2194179,20.0,21.85,20.0,21.85
98,2020-12-22,2150253,22.05,22.45,21.25,21.95
99,2020-12-23,6482307,22.0,24.1,22.0,24.0
100,2020-12-24,8159306,24.4,26.0,23.35,24.4
101,2020-12-25,2449768,24.4,25.0,23.7,24.15
102,2020-12-28,4373247,24.0,26.0,23.5,25.4
103,2020-12-29,2470454,25.7,26.0,24.3,24.85
104,2020-12-30,13223112,25.1,25.6,24.05,24.55
105,2020-12-31,1578229,25.0,25.0,23.8,24.5
106,2021-01-04,742294,24.3,24.4,23.9,24.15
107,2021-01-05,1190268,24.05,25.15,24.05,24.65
108,2021-01-06,1144706,24.9,25.15,23.05,23.85
109,2021-01-07,526399,23.75,24.0,23.15,23.6
110,2021-01-08,845250,23.35,23.55,22.6,22.95
111,2021-01-11,505208,23.0,23.45,22.95,23.0
112,2021-01-12,484200,23.05,23.05,21.9,22.1
113,2021-01-13,479000,21.9,22.95,21.9,22.5
114,2021-01-14,1098758,23.2,23.4,22.3,23.05
115,2021-01-15,672799,22.9,23.05,22.0,22.1
116,2021-01-18,533389,22.0,22.4,20.7,22.3
117,2021-01-19,764176,22.8,23.3,22.45,22.95
118,2021-01-20,613694,22.95,23.15,21.75,21.75
119,2021-01-21,472000,21.9,22.75,21.8,21.95
120,2021-01-22,994025,22.35,23.4,21.4,23.0
121,2021-01-25,823139,23.0,23.6,22.5,23.0
122,2021-01-26,1939369,23.0,24.15,22.85,23.55
123,2021-01-27,1118050,23.45,23.65,22.6,23.25
124,2021-01-28,476803,23.0,23.1,22.6,22.8
125,2021-01-29,502000,23.0,23.4,22.65,22.65
126,2021-02-01,568081,22.25,23.4,22.0,22.9
127,2021-02-02,332198,23.0,23.2,22.7,22.85
128,2021-02-03,368100,23.2,23.2,22.55,22.6
129,2021-02-04,512300,22.6,23.0,22.05,22.5
130,2021-02-05,2030930,22.5,24.35,22.5,23.55
131,2021-02-17,3599651,24.35,25.45,24.25,25.25
132,2021-02-18,1388005,25.25,25.25,24.75,25.2
133,2021-02-19,3710734,25.15,26.35,25.1,26.05
134,2021-02-22,1808174,26.0,26.7,25.8,26.1
135,2021-02-23,1610196,26.1,27.1,25.8,26.25
136,2021-02-24,1400100,26.15,26.45,25.2,25.45
137,2021-02-25,749402,25.95,26.1,25.3,25.45
138,2021-02-26,763152,25.2,25.85,25.0,25.05
139,2021-03-02,704618,25.15,25.55,24.6,24.6
140,2021-03-03,590853,24.6,25.6,24.45,25.6
141,2021-03-04,262105,25.5,25.55,25.0,25.25
142,2021-03-05,8175563,24.8,26.1,24.45,24.8
143,2021-03-08,1100258,24.6,25.9,24.6,25.35
144,2021-03-09,344050,25.5,25.5,24.6,24.9
145,2021-03-10,308000,25.05,25.35,24.85,25.0
146,2021-03-11,557513,25.5,25.65,25.1,25.55
147,2021-03-12,704342,25.8,26.5,25.4,25.55
148,2021-03-15,1152432,25.65,26.15,25.65,25.9
149,2021-03-16,840088,26.1,26.3,25.7,25.8
150,2021-03-17,4947396,25.8,28.35,25.65,28.35
151,2021-03-18,8616157,29.75,30.45,28.2,28.8
152,2021-03-19,6519252,28.5,31.65,28.5,31.65
153,2021-03-22,11389066,32.0,34.8,32.0,34.0
154,2021-03-23,9863971,35.0,35.55,33.25,34.8
155,2021-03-24,10596511,35.0,37.95,33.9,36.8
156,2021-03-25,6670891,36.8,37.25,34.65,36.0
157,2021-03-26,6164759,36.25,37.8,35.6,36.5
158,2021-03-29,7876869,37.8,39.6,37.05,37.4
159,2021-03-30,3446878,37.4,38.45,37.2,38.3
160,2021-03-31,9927653,38.75,41.6,38.45,41.0
161,2021-04-01,8211493,41.0,42.85,40.2,41.4
162,2021-04-06,5338432,41.7,43.45,41.65,42.15
163,2021-04-07,4438946,42.15,42.4,40.05,40.75
164,2021-04-08,4581469,40.5,41.75,39.3,39.4
165,2021-04-09,3767912,41.1,41.1,39.2,39.8
166,2021-04-12,3846381,41.1,42.0,40.05,41.05
167,2021-04-13,2888809,40.65,41.0,39.0,39.05
168,2021-04-14,3090107,39.35,40.3,36.9,39.95
169,2021-04-15,3284584,39.9,41.15,39.8,41.1
170,2021-04-16,12169242,42.2,45.0,41.5,44.95
171,2021-04-19,8050091,47.4,48.65,44.5,45.7
172,2021-04-20,3849753,46.1,47.3,45.3,46.3
173,2021-04-21,9105993,47.1,50.4,46.5,49.0
174,2021-04-22,12302880,50.1,52.7,46.5,47.45
175,2021-04-23,4267760,48.4,49.6,47.0,47.1
176,2021-04-26,5269143,47.4,47.7,44.85,45.2
177,2021-04-27,3643988,45.65,46.9,45.0,45.5
178,2021-04-28,3425224,45.6,46.2,44.2,45.3
