,Date,Quan
0,20200724,4.0
1,20200731,4.0
2,20200807,4.0
3,20200814,4.0
4,20200821,4.0
5,20200828,4.0
6,20200904,4.0
7,20200911,4.0
8,20200918,4.0
9,20200926,4.0
10,20200930,4.0
11,20201008,4.0
12,20201016,4.0
13,20201023,4.0
14,20201030,4.0
15,20201106,4.0
16,20201113,5.0
17,20201120,5.0
18,20201127,5.0
19,20201204,5.0
20,20201211,5.0
21,20201218,5.0
22,20201225,6.0
23,20201231,6.0
24,20210108,6.0
25,20210115,6.0
26,20210122,6.0
27,20210129,6.0
28,20210205,6.0
29,20210209,6.0
30,20210220,5.0
31,20210226,6.0
32,20210305,6.0
33,20210312,5.0
34,20210319,5.0
35,20210326,6.0
36,20210401,8.0
37,20210409,6.0
38,20210416,7.0
39,20210423,8.0
40,20210429,7.0
41,20210507,8.0
42,20210514,7.0
43,20210521,7.0
44,20210528,7.0
45,20210604,7.0
46,20210611,9.0
47,20210618,8.0
48,20210625,7.0
49,20210702,6.0
50,20210709,6.0
51,20210716,6.0
